ID,Nhà cung cấp,Ngày nhập gần đây,Đơn giá nhập,Tổng nhập,ID Khach hang,Ngày,Đơn giá MIN,Tổng nhập
31230-71052,NK-TS,2022-02-26 00:00:00,826532,30,NK-TS,2022-02-26 00:00:00,826532,30
31410-0B010,NK-TS,2022-02-26 00:00:00,500971,4,NK-TS,2022-02-26 00:00:00,500971,4
35330-60080,NK-TS,2022-02-26 00:00:00,445308,5,NK-TS,2022-02-26 00:00:00,445308,5
42423-KK010,NK-TS,2022-02-26 00:00:00,130271,5,NK-TS,2022-02-26 00:00:00,130271,5
42450-12170,NK-TS,2022-02-26 00:00:00,2481701,3,NK-TS,2022-02-26 00:00:00,2481701,3
42460-48011,NK-TS,2022-02-26 00:00:00,3436399,2,NK-TS,2022-02-26 00:00:00,3436399,2
43211-0K010,NK-TS,2022-02-26 00:00:00,1885774,2,NK-TS,2022-02-26 00:00:00,1885774,2
44320-35610,NK-TS,2022-02-26 00:00:00,6274533,1,NK-TS,2022-02-26 00:00:00,6274533,1
45503-09220,NK-TS,2022-02-26 00:00:00,228033,8,NK-TS,2022-02-26 00:00:00,228033,8
45503-09331,NK-TS,2022-02-26 00:00:00,964287,60,NK-TS,2022-02-26 00:00:00,964287,60
47201-60A22,NK-TS,2022-02-26 00:00:00,3542580,2,NK-TS,2022-02-26 00:00:00,3542580,2
47731-02450,NK-TS,2022-02-26 00:00:00,187806,8,NK-TS,2022-02-26 00:00:00,187806,8
47731-12A10,NK-TS,2022-02-26 00:00:00,187806,3,NK-TS,2022-02-26 00:00:00,187806,3
47831-52090,NK-TS,2022-02-26 00:00:00,100802,45,NK-TS,2022-02-26 00:00:00,100802,45
48090-50202,NK-TS,2022-02-26 00:00:00,8505514,2,NK-TS,2022-02-26 00:00:00,8505514,2
48540-A9390,NK-TS,2022-02-26 00:00:00,2418274,1,NK-TS,2022-02-26 00:00:00,2418274,1
48820-0D020,NK-TS,2022-02-26 00:00:00,655566,20,NK-TS,2022-02-26 00:00:00,655566,20
90080-91232,NK-TS,2022-02-26 00:00:00,24090,20,NK-TS,2022-02-26 00:00:00,24090,20
90369-T0007,NK-TS,2022-02-26 00:00:00,580958,100,NK-TS,2022-02-26 00:00:00,580958,100
90919-01192,NK-TS,2022-02-26 00:00:00,38122,400,NK-TS,2022-02-26 00:00:00,38122,400
90919-01210,NK-TS,2022-02-26 00:00:00,172370,200,NK-TS,2022-02-26 00:00:00,172370,200
GWHO-60A,NK-TS,2022-02-26 00:00:00,368127,20,NK-TS,2022-02-26 00:00:00,368127,20
GWHO-63A,NK-TS,2022-02-26 00:00:00,582829,20,NK-TS,2022-02-26 00:00:00,582829,20
GWM-91A,NK-TS,2022-02-26 00:00:00,464953,30,NK-TS,2022-02-26 00:00:00,464953,30
